City_ID,City,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Country,Date
273,tres arroyos,-38.3739,-60.2798,5.99,76,0,1.35,AR,1701663519
274,vilyuchinsk,52.9306,158.4028,-3.85,72,29,3.55,RU,1701663519
275,ghanzi,-21.5667,21.7833,23.57,19,91,5.06,BW,1701663519
276,san pedro pochutla,15.7333,-96.4667,25.84,77,22,1.42,MX,1701663519
277,gur'yevsk,54.2833,85.9333,-7.05,88,100,8.37,RU,1701663520
278,porto seguro,-16.4497,-39.0647,25.29,88,75,2.57,BR,1701663520
279,lebu,-37.6167,-73.65,11.19,81,0,9.45,CL,1701663408
280,chu,43.5983,73.7614,8.42,66,100,1.04,KZ,1701663520
281,las khorey,11.1595,48.1967,24.77,62,100,3.76,SO,1701663520
282,pomona,34.0553,-117.7523,16.24,62,0,2.57,US,1701663518
283,danville,36.586,-79.395,13.36,69,0,1.54,US,1701663521
284,ninotsminda,41.2646,43.5916,-1.07,66,95,3.1,GE,1701663521
285,santa terezinha,-29.9002,-50.0904,20.92,96,100,3.93,BR,1701663521
286,yefremov,53.1481,38.0992,-10.48,93,100,6.16,RU,1701663521
287,gore,-46.1028,168.9436,14.89,38,3,3.83,NZ,1701663521
288,kerikeri,-35.2268,173.9474,23.28,91,100,1.94,NZ,1701663457
289,yatou,37.15,122.3833,11.52,51,11,7.64,CN,1701663521
290,palmas,-10.2128,-48.3603,23.93,88,75,2.57,BR,1701663521
291,la'ie,21.6477,-157.9253,26.98,82,21,2.68,US,1701663522
292,ust-nera,64.5667,143.2,-38.83,98,100,2.0,RU,1701663522
293,pamukkale,37.9164,29.1173,11.13,86,3,1.58,TR,1701663522
294,yuzhno-kurilsk,44.0306,145.8556,4.1,68,46,5.09,RU,1701663522
295,padang,-0.9492,100.3543,28.03,78,98,0.91,ID,1701663448
296,waingapu,-9.6567,120.2641,30.51,68,47,4.21,ID,1701663522
297,thal,35.4791,72.2439,5.04,42,0,2.9,PK,1701663523
298,suoyarvi,62.0833,32.35,-15.97,99,87,1.39,RU,1701663523
299,keflavik,64.0049,-22.5624,1.24,75,0,5.66,IS,1701663523
300,talnakh,69.4865,88.3972,-34.25,85,12,0.81,RU,1701663523
301,alaghsas,17.0187,8.0168,17.94,19,93,2.06,NE,1701663523
302,rudbar,30.15,62.6,15.94,26,0,0.62,AF,1701663523
303,labinsk,44.6342,40.7356,10.53,68,98,0.27,RU,1701663523
304,san justo,-30.7891,-60.5919,16.1,76,100,4.47,AR,1701663523
305,kyshtovka,56.555,76.6271,-22.03,89,7,4.02,RU,1701663524
306,tralee,52.2704,-9.7026,1.46,90,34,4.16,IE,1701663524
307,humaita,-7.5061,-63.0208,24.08,88,71,1.83,BR,1701663524
308,nyandoma,61.669,40.1991,-13.99,98,100,1.57,RU,1701663524
309,ust'-barguzin,53.45,108.9833,-7.18,83,100,2.68,RU,1701663524
310,pyay,18.8167,95.2167,28.16,57,91,3.25,MM,1701663524
311,catemaco,18.4167,-95.1167,21.16,95,96,3.42,MX,1701663524
312,kralendijk,12.15,-68.2667,27.99,78,20,6.17,BQ,1701663371
313,salalah,17.0151,54.0924,26.05,47,0,5.14,OM,1701663525
314,parkes,-33.1333,148.1833,28.09,25,0,3.51,AU,1701663525
315,hami,42.8,93.45,3.23,31,3,2.78,CN,1701663525
316,banda aceh,5.5577,95.3222,28.64,70,90,0.96,ID,1701663525
317,brak,27.5496,14.2714,13.07,83,1,5.85,LY,1701663525
318,onguday,50.75,86.15,-2.37,52,96,4.34,RU,1701663525
319,nemuro,43.3236,145.575,4.49,65,51,3.77,JP,1701663525
320,draguseni,45.9667,27.75,-1.06,69,99,2.24,RO,1701663525
321,badger,64.8,-147.5333,-19.24,74,40,0.0,US,1701663491
322,inderbor,48.55,51.7833,7.37,84,100,5.93,KZ,1701663526
323,quatre cocos,-20.2078,57.7625,26.72,74,94,4.5,MU,1701663526
324,port moresby,-9.4431,147.1797,29.29,69,46,4.96,PG,1701663439
325,phek,25.6667,94.5,16.94,54,97,0.37,IN,1701663526
326,moron,-34.6534,-58.6198,17.86,76,53,5.81,AR,1701663526
327,naze,28.3667,129.4833,17.51,79,100,5.01,JP,1701663526
328,sakleshpur,12.9667,75.7833,22.04,78,99,4.36,IN,1701663527
329,marquette,46.5333,-87.6335,-0.37,74,100,1.34,US,1701663527
330,east ballina,-28.8667,153.5833,26.56,72,51,6.17,AU,1701663527
331,antsiranana,-12.2787,49.2917,26.76,70,69,7.2,MG,1701663527
332,mizque,-17.941,-65.3402,18.13,79,98,1.75,BO,1701663527
333,caraballeda,10.6112,-66.8522,27.14,79,20,0.0,VE,1701663527
334,kuta,-8.7233,115.1723,28.97,83,20,2.24,ID,1701663527
335,constantia,44.1833,28.65,1.5,63,100,6.2,RO,1701663341
336,deqen,29.9618,90.7188,2.89,13,82,2.08,CN,1701663528
337,egilsstadir,65.2653,-14.3948,-5.05,93,100,1.03,IS,1701663528
338,santa cruz,-17.8,-63.1667,23.7,88,98,3.09,BO,1701663528
339,malango,-2.9627,119.9001,27.16,73,64,1.03,ID,1701663528
340,shizunai-furukawacho,42.3339,142.3669,5.48,63,71,3.56,JP,1701663528
341,chihuahua,28.5,-106.0,7.33,31,0,0.68,MX,1701663528
342,bibir hat,22.6873,91.7853,26.95,57,93,1.9,BD,1701663528
343,pisco,-13.7,-76.2167,19.45,82,0,4.63,PE,1701663529
344,papao,-17.75,-149.55,29.82,83,99,11.42,PF,1701663529
345,ra-ngae,6.2968,101.7284,28.93,76,65,1.39,TH,1701663529
346,yacimiento rio turbio,-51.5732,-72.3508,1.2,95,78,2.96,AR,1701663529
347,kill devil hills,36.0307,-75.676,18.01,94,0,2.57,US,1701663529
348,callao,-12.0667,-77.15,20.95,77,75,4.12,PE,1701663529
349,bandon,51.7469,-8.7425,1.77,86,78,9.1,IE,1701663481
